Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
MatjiesRd1_comptonii_DC/0120_0123_b17,0.068308191,0.021961770,13628,0.068308191,0.021961770,0.059519470,0.020009836,0.046575595,0.014579561
MatjiesRd1_comptonii_DC/0120_0123_b18,0.061540186,0.021847170,132412,0.061540186,0.021847170,0.052653322,0.018796633,0.037527709,0.009728004
MatjiesRd1_comptonii_DC/0120_0123_b19,0.100511491,0.025659072,18273,0.100511491,0.025659072,0.088371374,0.023916466,0.047669441,0.016268089
MatjiesRd1_comptonii_DC/0120_0123_b2,0.250490754,0.097603089,466955,0.250490754,0.097603089,0.224231178,0.093217856,0.141759644,0.065927189
MatjiesRd1_comptonii_DC/0120_0123_b20,0.260622721,0.100232901,300926,0.260622721,0.100232901,0.238369492,0.086733133,0.167831251,0.052262957
MatjiesRd1_comptonii_DC/0120_0123_b3,0.118196670,0.035884583,84297,0.118196670,0.035884583,0.112949207,0.034718901,0.086910308,0.027744633
MatjiesRd1_comptonii_DC/0120_0123_b4,0.189121841,0.055038426,202625,0.189121841,0.055038426,0.187962852,0.053723381,0.168749494,0.043854033
MatjiesRd1_comptonii_DC/0120_0123_b5,0.170088458,0.048498696,260047,0.170088458,0.048498696,0.155399075,0.045002320,0.096552680,0.030561898
MatjiesRd1_comptonii_DC/0120_0123_b6,0.048481011,0.025832666,55398,0.048481011,0.025832666,0.045890614,0.025211089,0.043493879,0.020776406
MatjiesRd1_comptonii_DC/0120_0123_b7,0.151152753,0.044521826,168822,0.151152753,0.044521826,0.139760007,0.046514521,0.105189544,0.044693471
MatjiesRd1_comptonii_DC/0120_0123_b8,0.167616698,0.059505226,36206,0.167616698,0.059505226,0.153035009,0.054520327,0.094553423,0.033216936
MatjiesRd1_comptonii_DC/0120_0123_b9,0.190538368,0.060355957,66234,0.190538368,0.060355957,0.169878210,0.058627232,0.112432089,0.041888245
MatjiesRd1_comptonii_DC/0120_0123_c1,0.046240791,0.019185613,5029,0.046240791,0.019185613,0.033666204,0.017554742,0.010303568,0.010045458
MatjiesRd1_comptonii_DC/0120_0123_c2,0.083767471,0.020559221,21536,0.083767471,0.020559221,0.056700501,0.016686755,0.027855117,0.009416521
MatjiesRd1_comptonii_DC/0120_0123_c3,0.068212453,0.017312144,3919,0.068212453,0.017312144,0.051316669,0.015267532,0.021176530,0.009326373
MatjiesRd1_comptonii_DC/0120_0123_c4,0.068212453,0.017312144,3919,0.068212453,0.017312144,0.051316669,0.015267532,0.021176530,0.009326373
MatjiesRd1_comptonii_DC/0120_0123_c5,0.068212453,0.017312144,3919,0.068212453,0.017312144,0.051316669,0.015267532,0.021176530,0.009326373
MatjiesRd1_comptonii_DC/0120_0123_p1,0.250759050,0.097575799,466955,0.250759050,0.097575799,0.224565061,0.093126688,0.142036028,0.065807798
MatjiesRd1_comptonii_DC/0120_0123_p2,0.151152753,0.044521826,168822,0.151152753,0.044521826,0.139760007,0.046514521,0.105189544,0.044693471
MatjiesRd1_comptonii_DC/0120_0123_p3,0.250759050,0.097575799,466955,0.250759050,0.097575799,0.224565061,0.093126688,0.142036028,0.065807798
MatjiesRd1_comptonii_DC/0120_0123_p4,0.192998074,0.063279682,245654,0.192998074,0.063279682,0.182459104,0.060516856,0.138168059,0.046796152
