Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD,vsMean,vsSD,dblMean,dblSD
aggeneys_olivacea_CDE/CDE_b04_b6,0.265131272,0.061987093,192594,0.265131272,0.061987093,0.160098533,0.050413463,0.106854254,0.038725842,0.088832037,0.027702407,0.182763832,0.051441755
aggeneys_olivacea_CDE/CDE_b04_b7,0.226964391,0.113243797,113582,0.226964391,0.113243797,0.131255959,0.077219895,0.094482034,0.059408354,0.083737729,0.044092432,0.153092896,0.084313304
aggeneys_olivacea_CDE/CDE_b04_b8,0.488577547,0.104689932,49810,0.488577547,0.104689932,0.369365917,0.099268433,0.294999375,0.091838985,0.229539682,0.073399344,0.394186061,0.099022354
aggeneys_olivacea_CDE/CDE_b04_b9,0.237306878,0.070362122,510183,0.237306878,0.070362122,0.162027099,0.057782744,0.127845581,0.049405436,0.111576558,0.038355141,0.178431179,0.059091820
aggeneys_olivacea_CDE/CDE_b04_c1,0.158874873,0.033271902,1895,0.158874873,0.033271902,0.075760892,0.025358916,0.045555586,0.016945780,0.042280181,0.011638673,0.094569384,0.025316684
aggeneys_olivacea_CDE/CDE_b04_c2,0.136668047,0.033807170,4252,0.136668047,0.033807170,0.073851402,0.030681078,0.048229079,0.025344045,0.044476387,0.017435401,0.087307204,0.029197599
aggeneys_olivacea_CDE/CDE_b04_p1,0.203479917,0.096563280,283311,0.203479917,0.096563280,0.149677065,0.070507257,0.118241657,0.057982982,0.103223797,0.044957135,0.159926086,0.075522093
aggeneys_olivacea_CDE/CDE_b04_p2,0.265131272,0.061987093,192594,0.265131272,0.061987093,0.160098533,0.050413463,0.106854254,0.038725842,0.088832037,0.027702407,0.182763832,0.051441755
aggeneys_olivacea_CDE/CDE_b04_p3,0.237306878,0.070362122,510183,0.237306878,0.070362122,0.162027099,0.057782744,0.127845581,0.049405436,0.111576558,0.038355141,0.178431179,0.059091820
aggeneys_olivacea_CDE/CDE_b04_p4,0.237306878,0.070362122,510183,0.237306878,0.070362122,0.162027099,0.057782744,0.127845581,0.049405436,0.111576558,0.038355141,0.178431179,0.059091820
aggeneys_olivacea_CDE/CDE_b04_p5,0.237306878,0.070362122,510183,0.237306878,0.070362122,0.162027099,0.057782744,0.127845581,0.049405436,0.111576558,0.038355141,0.178431179,0.059091820
aggeneys_olivacea_CDE/CDE_b04_p6,0.237306878,0.070362122,510183,0.237306878,0.070362122,0.162027099,0.057782744,0.127845581,0.049405436,0.111576558,0.038355141,0.178431179,0.059091820
aggeneys_olivacea_CDE/CDE_b04_p7,0.237306878,0.070362122,510183,0.237306878,0.070362122,0.162027099,0.057782744,0.127845581,0.049405436,0.111576558,0.038355141,0.178431179,0.059091820
aggeneys_olivacea_CDE/CDE_b04_p8,0.404679691,0.091660527,53184,0.404679691,0.091660527,0.286066792,0.091320842,0.229278005,0.088943731,0.188834845,0.074763185,0.312682342,0.090062554
aggeneys_olivacea_CDE/CDE_b05_a1,0.176400065,0.084339745,68999,0.176400065,0.084339745,0.126674595,0.054982598,0.096737460,0.038792147,0.085915636,0.024784669,0.135828738,0.061256618
aggeneys_olivacea_CDE/CDE_b05_a2,0.179354272,0.066272544,68311,0.179354272,0.066272544,0.125365889,0.045455785,0.097185913,0.034710769,0.087210157,0.024222248,0.135884330,0.049605744
aggeneys_olivacea_CDE/CDE_b05_a3,0.167032665,0.045456385,44703,0.167032665,0.045456385,0.122782746,0.029688392,0.095135224,0.021791482,0.085576026,0.015368879,0.130628874,0.032359310
aggeneys_olivacea_CDE/CDE_b05_b1,0.196084522,0.056861232,47190,0.196084522,0.056861232,0.108794722,0.044263972,0.078788721,0.036163194,0.073550548,0.027787266,0.129150332,0.044887091
aggeneys_olivacea_CDE/CDE_b05_b2,0.282466572,0.061826362,8809,0.282466572,0.061826362,0.207565126,0.041523938,0.173327083,0.040126259,0.157694453,0.041220485,0.224127803,0.042945727
aggeneys_olivacea_CDE/CDE_b05_b3,0.253068191,0.044879619,69108,0.253068191,0.044879619,0.159349913,0.039249140,0.122332594,0.035492604,0.106801716,0.030069624,0.180732493,0.039862482
aggeneys_olivacea_CDE/CDE_b05_b4,0.291900235,0.086866384,36858,0.291900235,0.086866384,0.172357472,0.068887854,0.130058979,0.056383584,0.115214781,0.042378761,0.200777769,0.069858985
aggeneys_olivacea_CDE/CDE_b05_b5,0.324229540,0.048303601,6843,0.324229540,0.048303601,0.251252543,0.053070074,0.209184949,0.052061550,0.179591931,0.043562805,0.266428537,0.051292918
aggeneys_olivacea_CDE/CDE_b05_c1,0.208565485,0.060212972,23074,0.208565485,0.060212972,0.109944070,0.043965277,0.070986077,0.031962671,0.062812488,0.022387810,0.132333454,0.044999683
aggeneys_olivacea_CDE/CDE_b05_c2,0.139425773,0.047977001,4611,0.139425773,0.047977001,0.074666910,0.039752823,0.046368848,0.032074006,0.043311465,0.022720793,0.088510916,0.039184281
aggeneys_olivacea_CDE/CDE_b06_a1,0.139917966,0.070199529,41014,0.139917966,0.070199529,0.097615636,0.050627269,0.067142404,0.038815601,0.056374933,0.026354935,0.104219023,0.053922907
aggeneys_olivacea_CDE/CDE_b06_a2,0.124819390,0.075122006,32051,0.124819390,0.075122006,0.090941842,0.053440932,0.066168523,0.042561626,0.057873413,0.029519935,0.095850098,0.057285965
aggeneys_olivacea_CDE/CDE_b06_a3,0.107292589,0.084386205,37639,0.107292589,0.084386205,0.076514555,0.053941576,0.052302674,0.039480713,0.046659425,0.027249725,0.080639880,0.060575765
aggeneys_olivacea_CDE/CDE_b06_b1,0.166007386,0.091640165,1466464,0.166007386,0.091640165,0.096789708,0.068305382,0.065307253,0.055423274,0.059638714,0.041461163,0.111569249,0.072004173
aggeneys_olivacea_CDE/CDE_b06_b2,0.560423928,0.092250771,582057,0.560423928,0.092250771,0.487385541,0.089179947,0.445676492,0.087100108,0.393099374,0.077869427,0.503738491,0.088443149
aggeneys_olivacea_CDE/CDE_b06_c1,0.119689582,0.055237909,30096,0.119689582,0.055237909,0.047019780,0.048107915,0.017384256,0.037802843,0.018328086,0.026293315,0.062834473,0.047327845
aggeneys_olivacea_CDE/CDE_b06_c2,0.102640096,0.055990254,12831,0.102640096,0.055990254,0.041146668,0.037141840,0.010453597,0.026726930,0.011288617,0.017568072,0.053559619,0.039493662
aggeneys_olivacea_CDE/CDE_b07_a1,0.389095795,0.182016875,55126,0.389095795,0.182016875,-0.030730323,0.016583150,0.132206947,0.051623634,0.142150740,0.046716208,0.121863089,0.066932686
aggeneys_olivacea_CDE/CDE_b07_a2,0.446702942,0.225211789,64432,0.446702942,0.225211789,-0.022150846,0.023542248,0.149586497,0.077692392,0.156175559,0.064922790,0.146889110,0.088962471
aggeneys_olivacea_CDE/CDE_b07_a3,0.344836820,0.205599328,77508,0.344836820,0.205599328,-0.031998251,0.018262279,0.110876204,0.064447999,0.120559723,0.057014684,0.103420952,0.078017512
aggeneys_olivacea_CDE/CDE_b07_b1,0.725978888,0.281322230,1132156,0.725978888,0.281322230,-0.088444972,0.028238106,0.055871290,0.068274943,0.132175816,0.068835706,0.189924898,0.105287813
aggeneys_olivacea_CDE/CDE_b07_b2,1.370598519,0.229530245,39870,1.370598519,0.229530245,0.032877091,0.030580326,0.425820288,0.138583647,0.399334236,0.083071427,0.533731298,0.109099332
aggeneys_olivacea_CDE/CDE_b07_b3,0.736281337,0.175740268,49738,0.736281337,0.175740268,-0.078892895,0.030671527,0.052709174,0.071976364,0.127046173,0.059899361,0.194850872,0.073440791
aggeneys_olivacea_CDE/CDE_b07_b4,0.888777053,0.198478121,39612,0.888777053,0.198478121,-0.028762249,0.040596257,0.373391735,0.098089834,0.356509667,0.074498680,0.327739566,0.087547911
aggeneys_olivacea_CDE/CDE_b07_c1,0.301972833,0.101548532,11302,0.301972833,0.101548532,-0.067608401,0.018293683,0.003657406,0.034764230,0.041911505,0.030137135,0.052595631,0.036112312
aggeneys_olivacea_CDE/CDE_b08_a1,0.150121840,0.106598357,92484,0.150121840,0.106598357,0.120802057,0.075921140,0.089085120,0.059089746,0.074471135,0.040581856,0.123520630,0.082150907
