,Label,lumMean,lumSD,area,lwMean,lwSD,swMean,swSD
34516,SidiBarani_verruculosa_EF/1320_1323_b1,0.484688502,0.18655652,23382,0.484688502,0.18655652,0.258589744,0.102923539
34517,SidiBarani_verruculosa_EF/1320_1323_b10,0.135913931,0.060139724,19417,0.135913931,0.060139724,0.084080215,0.034084896
34518,SidiBarani_verruculosa_EF/1320_1323_b11,0.169355584,0.019263449,401,0.169355584,0.019263449,0.076499049,0.010328795
34519,SidiBarani_verruculosa_EF/1320_1323_b12,0.319832426,0.032130215,721,0.319832426,0.032130215,0.142404162,0.021960415
34520,SidiBarani_verruculosa_EF/1320_1323_b13,0.124632364,0.053980682,7594,0.124632364,0.053980682,0.072552652,0.024803735
34521,SidiBarani_verruculosa_EF/1320_1323_b14,0.14754491,0.02813431,319,0.14754491,0.02813431,0.08362521,0.014161621
34522,SidiBarani_verruculosa_EF/1320_1323_b2,0.374308276,0.135862756,12522,0.374308276,0.135862756,0.207195179,0.071266308
34523,SidiBarani_verruculosa_EF/1320_1323_b3,0.427447027,0.062191248,526,0.427447027,0.062191248,0.196467757,0.037081271
34524,SidiBarani_verruculosa_EF/1320_1323_b4,0.228669586,0.057719208,23101,0.228669586,0.057719208,0.157207023,0.040017487
34525,SidiBarani_verruculosa_EF/1320_1323_b5,0.524393804,0.140367206,785420,0.524393804,0.140367206,0.356065092,0.096948969
34526,SidiBarani_verruculosa_EF/1320_1323_b6,0.276264948,0.066417988,50051,0.276264948,0.066417988,0.210891295,0.055178199
34527,SidiBarani_verruculosa_EF/1320_1323_b7,0.279307386,0.082280991,15703,0.279307386,0.082280991,0.12854192,0.043586953
34528,SidiBarani_verruculosa_EF/1320_1323_b8,0.268743094,0.047980776,53796,0.268743094,0.047980776,0.175768729,0.031976654
34529,SidiBarani_verruculosa_EF/1320_1323_b9,0.133816819,0.046354368,1624,0.133816819,0.046354368,0.086324211,0.025989789
34530,SidiBarani_verruculosa_EF/1320_1323_c1,0.172187264,0.071652744,4711,0.172187264,0.071652744,0.071408858,0.030568583
34531,SidiBarani_verruculosa_EF/1320_1323_c2,0.126750528,0.053687232,5622,0.126750528,0.053687232,0.058027622,0.023383669
34532,SidiBarani_verruculosa_EF/1320_1323_c3,0.117291604,0.055468227,9647,0.117291604,0.055468227,0.053915143,0.02679377
34533,SidiBarani_verruculosa_EF/1320_1323_c4,0.106846538,0.047366227,12557,0.106846538,0.047366227,0.053165805,0.022767671
34534,SidiBarani_verruculosa_EF/1320_1323_c5,0.135928932,0.055272852,7680,0.135928932,0.055272852,0.063172575,0.026452023
34535,SidiBarani_verruculosa_EF/1320_1323_c6,0.105139737,0.047067653,12090,0.105139737,0.047067653,0.045320349,0.02189655
34536,SidiBarani_verruculosa_EF/1320_1323_p1,0.276264948,0.066417988,50051,0.276264948,0.066417988,0.210891295,0.055178199
34537,SidiBarani_verruculosa_EF/1320_1323_p2,0.133816819,0.046354368,1624,0.133816819,0.046354368,0.086324211,0.025989789
